Mouse # / gating level,Statistic (%),# of Cells
1179 tumor.fcs/All Cells/Single Cells,87.2,355282
1179 tumor.fcs/All Cells/Single Cells/Single Cells,93.7,332796
1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live,2.17,7225
1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,25.7,1858
1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,95.5,1774
1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,22.7,403
1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,23.8,423
"1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.054,1
"1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",86.4,1606
"1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",7.53,140
"1179 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",5.97,111
1180 tumor.fcs,3611032,
1180 tumor.fcs/All Cells,23.1,835817
1180 tumor.fcs/All Cells/Single Cells,81.4,680629
1180 tumor.fcs/All Cells/Single Cells/Single Cells,92.4,629047
1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live,47.1,296176
1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,92.3,273277
1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,96.7,264368
1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,22.2,58663
1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,24,63334
"1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.032,87
"1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",90.2,246608
"1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",6.89,18837
"1180 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",2.83,7745
1182 tumor.fcs,13375984,
1182 tumor.fcs/All Cells,25,3337907
1182 tumor.fcs/All Cells/Single Cells,79.5,2654335
1182 tumor.fcs/All Cells/Single Cells/Single Cells,94.4,2504472
1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live,37.7,943156
1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,72,679417
1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,92.7,629545
1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,30.3,190500
1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,33.3,209570
"1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.00942,64
"1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",90.6,615740
"1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.44,30169
"1182 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",4.92,33444
1183 tumor.fcs,9465152,
1183 tumor.fcs/All Cells,27.5,2607565
1183 tumor.fcs/All Cells/Single Cells,73.7,1921031
1183 tumor.fcs/All Cells/Single Cells/Single Cells,91.4,1755318
1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live,69.6,1221827
1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,95.6,1168018
1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,85.7,1000605
1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,34.8,348195
1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,38.8,388672
"1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.014,164
"1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",82.1,958407
"1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.49,52411
"1183 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",13.4,157043
1184 tumor.fcs,22765344,
1184 tumor.fcs/All Cells,19.7,4483656
1184 tumor.fcs/All Cells/Single Cells,84.1,3770851
1184 tumor.fcs/All Cells/Single Cells/Single Cells,95.9,3617868
1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live,0.75,27149
1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,45.5,12357
1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,91.1,11253
1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,3.75,422
1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,4.36,491
"1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.17,21
"1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",87,10749
"1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.61,570
"1184 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",8.23,1017
1185 tumor.fcs,2883064,
1185 tumor.fcs/All Cells,18.7,538189
1185 tumor.fcs/All Cells/Single Cells,74.5,400724
1185 tumor.fcs/All Cells/Single Cells/Single Cells,92.9,372236
1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live,21.9,81457
1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,75.3,61329
1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,82,50290
1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,22.8,11484
1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,23.9,12018
"1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.61,374
"1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",77.3,47378
"1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",5.94,3646
"1185 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",16.2,9931
1186 tumor.fcs,4882640,
1186 tumor.fcs/All Cells,14.3,696226
1186 tumor.fcs/All Cells/Single Cells,64.4,448067
1186 tumor.fcs/All Cells/Single Cells/Single Cells,89.3,400242
1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live,11.8,47080
1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,50.6,23817
1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,89.8,21379
1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,51.6,11028
1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,53.5,11439
"1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.55,132
"1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",85.6,20395
"1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.07,969
"1186 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",9.75,2321
1188 tumor.fcs,17678600,
1188 tumor.fcs/All Cells,23,4073227
1188 tumor.fcs/All Cells/Single Cells,72.1,2937820
1188 tumor.fcs/All Cells/Single Cells/Single Cells,91.9,2699406
1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live,8.1,218541
1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,88.8,194071
1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,95.4,185203
1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,39.7,73516
1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,44.3,81954
"1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.072,139
"1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",91.7,177883
"1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.97,9653
"1188 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",3.3,6396
1189 tumor.fcs,13011456,
1189 tumor.fcs/All Cells,31.9,4148629
1189 tumor.fcs/All Cells/Single Cells,66.5,2759030
1189 tumor.fcs/All Cells/Single Cells/Single Cells,89.3,2462903
1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live,55.2,1360044
1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,94.5,1285785
1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,91.3,1173716
1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,32.3,379301
1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,64,750925
"1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.071,910
"1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",80,1028794
"1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",11.6,148638
"1189 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",8.36,107443
1192 tumor.fcs,6973188,
