Mouse# / gating level ,Statistic (%) ,# of Cells
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,67.4,169529
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,27.8,47174
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,49.6,23388
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,9.25,4365
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,59.5,2596
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,8.59,375
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,30.4,1327
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,2.91,127
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,32.3,1411
1206 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.05,8553
1207 tumor.fcs,,14419192
1207 tumor.fcs/Lymphocytes,6.39,921175
1207 tumor.fcs/Lymphocytes/Single Cells,95.6,880584
1207 tumor.fcs/Lymphocytes/Single Cells/Live,42.1,370556
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,89.5,331682
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,40.8,135400
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,51.3,69509
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,22.8,30919
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,81.8,25297
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,9.45,2921
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,16.3,5048
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,12.8,3973
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.8,11686
1207 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.33,11061
1208 tumor.fcs,,14615496
1208 tumor.fcs/Lymphocytes,3.55,518741
1208 tumor.fcs/Lymphocytes/Single Cells,94.3,489293
1208 tumor.fcs/Lymphocytes/Single Cells/Live,54.6,267267
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,95.3,254839
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,31.6,80584
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,51.1,41197
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,26,20946
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,70.3,14720
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,12.7,2660
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,28.7,6009
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,4.16,871
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.5,7851
1208 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,9.31,23737
1210 tumor.fcs,,11076504
1210 tumor.fcs/Lymphocytes,1.94,214725
1210 tumor.fcs/Lymphocytes/Single Cells,93.7,201297
1210 tumor.fcs/Lymphocytes/Single Cells/Live,74.5,150011
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,86.8,130189
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,34,44277
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,36.2,16022
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,44.3,19621
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,90.2,17706
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,3.47,680
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,9.75,1913
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,34,6677
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,81.7,16022
1210 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.88,7661
1211 tumor.fcs,,12781472
1211 tumor.fcs/Lymphocytes,2.72,348007
1211 tumor.fcs/Lymphocytes/Single Cells,94.6,329265
1211 tumor.fcs/Lymphocytes/Single Cells/Live,28.7,94374
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,90.7,85605
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,12.4,10609
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,47.3,5016
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,34.4,3649
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,56.3,2053
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,3.67,134
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,12.6,458
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,7.56,276
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,31.4,1146
1211 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.43,2080
1212 tumor.fcs,,12408800
1212 tumor.fcs/Lymphocytes,1.8,223637
1212 tumor.fcs/Lymphocytes/Single Cells,92.7,207302
1212 tumor.fcs/Lymphocytes/Single Cells/Live,36.2,74940
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,74.3,55690
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.3,8503
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,53.9,4583
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,27.2,2311
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,66.8,1544
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.14,142
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,18.6,429
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,10.9,252
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.8,874
1212 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.04,1693
1213 tumor.fcs,,10188272
1213 tumor.fcs/Lymphocytes,5.95,606418
1213 tumor.fcs/Lymphocytes/Single Cells,95.2,577177
1213 tumor.fcs/Lymphocytes/Single Cells/Live,52.8,304883
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,50.9,155301
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,18.2,28196
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,35.8,10090
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,18.9,5341
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,64.7,3453
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.49,293
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,20.1,1074
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,9.04,483
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,20.1,1072
1213 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.52,5459
1214 tumor.fcs,,11292464
1214 tumor.fcs/Lymphocytes,4.45,502310
1214 tumor.fcs/Lymphocytes/Single Cells,92.8,466224
1214 tumor.fcs/Lymphocytes/Single Cells/Live,73.6,343335
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,65,223337
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.1,53770
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,27.8,14930
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,25.7,13827
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,73.2,10127
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.98,965
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,15.9,2205
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,15.9,2204
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,52.1,7201
1214 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.12,6968
1239 tumor.fcs,,11173821
1239 tumor.fcs/Lymphocytes,1.85,206727
1239 tumor.fcs/Lymphocytes/Single Cells,92.9,192097
1239 tumor.fcs/Lymphocytes/Single Cells/Live,84.7,162740
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,88.3,143629
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,32.5,46701
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,62.3,29109
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,20.7,9648
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,56.6,5463
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.52,629
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,17.8,1713
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,25.3,2441
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,2.3,222
1239 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,7.17,10298
1240 tumor.fcs,,14089890
1240 tumor.fcs/Lymphocytes,1.62,228687
1240 tumor.fcs/Lymphocytes/Single Cells,93.1,212915
1240 tumor.fcs/Lymphocytes/Single Cells/Live,65.3,139102
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,84.7,117883
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,20.3,23925
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,41,9812
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,36.5,8732
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,66.3,5788
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.54,484
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,19.9,1739
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,36,3141
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,3.88,339
1240 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,12.6,14883
1243 tumor.fcs,,6631022
1243 tumor.fcs/Lymphocytes,3.17,210425
1243 tumor.fcs/Lymphocytes/Single Cells,95.6,201147
1243 tumor.fcs/Lymphocytes/Single Cells/Live,88.4,177873
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,91.1,162000
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,44.2,71651
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,35.5,25424
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,36.6,26236
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,83.2,21836
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.25,590
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,5.75,1509
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,12.9,3385
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,43.6,11427
1243 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,4.56,7385
1244 Tumor.fcs,,8306485
1244 Tumor.fcs/Lymphocytes,0.91,75217
1244 Tumor.fcs/Lymphocytes/Single Cells,95,71443
1244 Tumor.fcs/Lymphocytes/Single Cells/Live,69.3,49481
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,89.2,44133
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,61.4,27119
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,38.7,10487
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,32.8,8884
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,88.9,7899
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,3.5,311
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,10.2,906
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,9.04,803
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.6,3343
1244 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,14.2,6253
1245 tumor.fcs,,8564464
1245 tumor.fcs/Lymphocytes,3.43,294053
1245 tumor.fcs/Lymphocytes/Single Cells,96.3,283066
1245 tumor.fcs/Lymphocytes/Single Cells/Live,73.4,207892
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,96.4,200473
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,61.3,122967
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,24.7,30428
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,52.7,64782
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,92.1,59676
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.89,1225
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,4.27,2765
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,13.7,8873
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,42.1,27242
1245 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.09,10212
1249 tumor.fcs,,6898754
1249 tumor.fcs/Lymphocytes,2.08,143409
1249 tumor.fcs/Lymphocytes/Single Cells,94.6,135594
1249 tumor.fcs/Lymphocytes/Single Cells/Live,61.7,83605
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,95.4,79719
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,51.6,41125
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,38.4,15802
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,31.1,12777
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,73.1,9336
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.22,284
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,4.38,560
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,16.6,2118
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,48.8,6230
1249 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,9.06,7224
1252 Tumor.fcs,,6798993
1252 Tumor.fcs/Lymphocytes,1.29,87442
1252 Tumor.fcs/Lymphocytes/Single Cells,97.7,85445
1252 Tumor.fcs/Lymphocytes/Single Cells/Live,63.4,54151
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,74.8,40489
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,52.3,21168
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,49.5,10470
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,26,5500
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,81.6,4490
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.62,144
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,12.4,684
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,27.3,1501
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,58.1,3195
1252 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,9.62,3894
1253 Tumor.fcs,,7512604
1253 Tumor.fcs/Lymphocytes,3.16,237547
1253 Tumor.fcs/Lymphocytes/Single Cells,98,232778
1253 Tumor.fcs/Lymphocytes/Single Cells/Live,70.7,164475
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,97,159617
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,50.6,80846
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,32.3,26118
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,42.8,34637
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,82.8,28665
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,3.88,1345
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,7.21,2499
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,12.5,4315
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,29.8,10335
1253 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,10.9,17331
UNS tumor.fcs,,27144
UNS tumor.fcs/Lymphocytes,4.09,1109
UNS tumor.fcs/Lymphocytes/Single Cells,96.1,1066
UNS tumor.fcs/Lymphocytes/Single Cells/Live,100,1066
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,0.19,2
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
UNS tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
dead tumor.fcs,,213496
dead tumor.fcs/Lymphocytes,2.14,4568
dead tumor.fcs/Lymphocytes/Single Cells,95.6,4365
dead tumor.fcs/Lymphocytes/Single Cells/Live,65.8,2873
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,0.07,2
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
dead tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
