Mouse# / gating level ,Statistic (%) ,# of Cells
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1131 Tumor fresh.fcs,,12235800
1131 Tumor fresh.fcs/Lymphocytes,15.2,1856712
1131 Tumor fresh.fcs/Lymphocytes/Single Cells,97.1,1803112
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live,90.1,1623747
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+,11.4,184907
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.6,28823
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,39.7,11440
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,20.1,5807
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,33.4,1937
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.5,2176
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1138 TUMOR.fcs,,312528
1138 TUMOR.fcs/Lymphocytes,10.2,31971
1138 TUMOR.fcs/Lymphocytes/Single Cells,92.9,29710
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live,21.1,6272
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+,67.7,4249
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,13.6,576
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,18.2,105
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,10.9,63
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,74.6,47
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.59,1
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,4.76,3
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,27,17
